# beta	delta
nan -9.177882531633917429e-01
nan -9.176062138111752420e-01
nan -9.174242090145781070e-01
nan -9.172422387637623187e-01
nan -9.170603030488927443e-01
nan -9.168784018601386920e-01
nan -9.166965351876734669e-01
nan -9.165147030216729274e-01
nan -9.163329053523177059e-01
nan -9.161511421697919877e-01
nan -9.159694134642835106e-01
nan -9.157877192259834542e-01
nan -9.156060594450872170e-01
nan -9.154244341117938610e-01
nan -9.152428432163055572e-01
nan -9.150612867488291391e-01
nan -9.148797646995745492e-01
nan -9.146982770587553935e-01
nan -9.145168238165892749e-01
nan -9.143354049632974601e-01
nan -9.141540204891046573e-01
nan -9.139726703842395716e-01
nan -9.137913546389345720e-01
nan -9.136100732434255800e-01
nan -9.134288261879522919e-01
nan -9.132476134627581787e-01
nan -9.130664350580902644e-01
nan -9.128852909641993474e-01
nan -9.127041811713401120e-01
nan -9.125231056697704624e-01
nan -9.123420644497521881e-01
nan -9.121610575015512978e-01
nan -9.119800848154365758e-01
nan -9.117991463816810249e-01
nan -9.116182421905615341e-01
nan -9.114373722323582117e-01
nan -9.112565364973547188e-01
nan -9.110757349758391577e-01
nan -9.108949676581027388e-01
nan -9.107142345344401146e-01
nan -9.105335355951502674e-01
nan -9.103528708305356210e-01
nan -9.101722402309015969e-01
nan -9.099916437865583907e-01
nan -9.098110814878191954e-01
nan -9.096305533250009789e-01
nan -9.094500592884242618e-01
nan -9.092695993684136724e-01
nan -9.090891735552967257e-01
nan -9.089087818394053775e-01
nan -9.087284242110749144e-01
nan -9.085481006606439536e-01
nan -9.083678111784553311e-01
nan -9.081875557548552136e-01
nan -9.080073343801934316e-01
nan -9.078271470448233682e-01
nan -9.076469937391026255e-01
nan -9.074668744533915810e-01
nan -9.072867891780547200e-01
nan -9.071067379034603029e-01
nan -9.069267206199800313e-01
nan -9.067467373179890489e-01
nan -9.065667879878664959e-01
nan -9.063868726199951764e-01
nan -9.062069912047608922e-01
nan -9.060271437325537747e-01
nan -9.058473301937676192e-01
nan -9.056675505787988856e-01
nan -9.054878048780486965e-01
nan -9.053080930819216166e-01
nan -9.051284151808252076e-01
nan -9.049487711651713617e-01
nan -9.047691610253754124e-01
nan -9.045895847518558019e-01
nan -9.044100423350351914e-01
nan -9.042305337653397945e-01
nan -9.040510590331990448e-01
nan -9.038716181290462615e-01
nan -9.036922110433185384e-01
nan -9.035128377664561894e-01
nan -9.033334982889030806e-01
nan -9.031541926011075194e-01
nan -9.029749206935202555e-01
nan -9.027956825565961463e-01
nan -9.026164781807942683e-01
nan -9.024373075565761404e-01
nan -9.022581706744075003e-01
nan -9.020790675247580825e-01
nan -9.018999980981000641e-01
nan -9.017209623849101741e-01
nan -9.015419603756685829e-01
nan -9.013629920608589030e-01
nan -9.011840574309679663e-01
nan -9.010051564764868237e-01
nan -9.008262891879100787e-01
nan -9.006474555557349992e-01
nan -9.004686555704636275e-01
nan -9.002898892226008920e-01
nan -9.001111565026553851e-01
nan -8.999324574011393629e-01
nan -8.997537919085686342e-01
nan -8.995751600154625605e-01
nan -8.993965617123439449e-01
nan -8.992179969897394765e-01
nan -8.990394658381790638e-01
nan -8.988609682481962793e-01
nan -8.986825042103284700e-01
nan -8.985040737151162027e-01
nan -8.983256767531037079e-01
nan -8.981473133148391019e-01
nan -8.979689833908734986e-01
nan -8.977906869717617866e-01
nan -8.976124240480628513e-01
nan -8.974341946103382428e-01
nan -8.972559986491536188e-01
nan -8.970778361550784119e-01
nan -8.968997071186852743e-01
nan -8.967216115305499669e-01
nan -8.965435493812525802e-01
nan -8.963655206613765358e-01
nan -8.961875253615081416e-01
nan -8.960095634722381464e-01
nan -8.958316349841602966e-01
nan -8.956537398878721135e-01
nan -8.954758781739743378e-01
nan -8.952980498330715964e-01
nan -8.951202548557718464e-01
nan -8.949424932326865978e-01
nan -8.947647649544309134e-01
nan -8.945870700116232976e-01
nan -8.944094083948858076e-01
nan -8.942317800948442752e-01
nan -8.940541851021274189e-01
nan -8.938766234073680650e-01
nan -8.936990950012025925e-01
nan -8.935215998742701560e-01
nan -8.933441380172142399e-01
nan -8.931667094206815483e-01
nan -8.929893140753221159e-01
nan -8.928119519717894192e-01
nan -8.926346231007410426e-01
nan -8.924573274528376787e-01
nan -8.922800650187430183e-01
nan -8.921028357891250815e-01
nan -8.919256397546552195e-01
nan -8.917484769060074479e-01
nan -8.915713472338605561e-01
nan -8.913942507288961092e-01
nan -8.912171873817988921e-01
nan -8.910401571832577972e-01
nan -8.908631601239650477e-01
nan -8.906861961946158646e-01
nan -8.905092653859095764e-01
nan -8.903323676885488425e-01
nan -8.901555030932394308e-01
nan -8.899786715906911061e-01
nan -8.898018731716167418e-01
nan -8.896251078267327639e-01
nan -8.894483755467591513e-01
nan -8.892716763224193244e-01
nan -8.890950101444402565e-01
nan -8.889183770035520293e-01
nan -8.887417768904889437e-01
nan -8.885652097959877427e-01
nan -8.883886757107893883e-01
nan -8.882121746256383954e-01
nan -8.880357065312819431e-01
nan -8.878592714184713186e-01
nan -8.876828692779613617e-01
nan -8.875065001005097987e-01
nan -8.873301638768781308e-01
nan -8.871538605978314118e-01
nan -8.869775902541382484e-01
nan -8.868013528365699116e-01
nan -8.866251483359022245e-01
nan -8.864489767429138967e-01
nan -8.862728380483866353e-01
nan -8.860967322431064774e-01
nan -8.859206593178624578e-01
nan -8.857446192634470528e-01
nan -8.855686120706559583e-01
nan -8.853926377302889783e-01
nan -8.852166962331485811e-01
nan -8.850407875700410099e-01
nan -8.848649117317762824e-01
nan -8.846890687091670813e-01
nan -8.845132584930300856e-01
nan -8.843374810741855274e-01
nan -8.841617364434563031e-01
nan -8.839860245916695280e-01
nan -8.838103455096555372e-01
nan -8.836346991882476631e-01
nan -8.834590856182830132e-01
nan -8.832835047906024695e-01
nan -8.831079566960494676e-01
nan -8.829324413254714399e-01
nan -8.827569586697191495e-01
nan -8.825815087196470232e-01
nan -8.824060914661119304e-01
nan -8.822307068999754032e-01
nan -8.820553550121017494e-01
nan -8.818800357933582745e-01
nan -8.817047492346165027e-01
nan -8.815294953267511779e-01
nan -8.813542740606398196e-01
nan -8.811790854271640550e-01
nan -8.810039294172086199e-01
nan -8.808288060216614701e-01
nan -8.806537152314144468e-01
nan -8.804786570373622778e-01
nan -8.803036314304033549e-01
nan -8.801286384014394004e-01
nan -8.799536779413755783e-01
nan -8.797787500411201611e-01
nan -8.796038546915850853e-01
nan -8.794289918836859510e-01
nan -8.792541616083409117e-01
nan -8.790793638564721180e-01
nan -8.789045986190051618e-01
nan -8.787298658868686330e-01
nan -8.785551656509944518e-01
nan -8.783804979023185355e-01
nan -8.782058626317796879e-01
nan -8.780312598303198213e-01
nan -8.778566894888850669e-01
nan -8.776821515984239985e-01
nan -8.775076461498888536e-01
nan -8.773331731342358664e-01
nan -8.771587325424239356e-01
nan -8.769843243654150688e-01
nan -8.768099485941754923e-01
nan -8.766356052196744297e-01
nan -8.764612942328838807e-01
nan -8.762870156247800635e-01
nan -8.761127693863423049e-01
nan -8.759385555085529296e-01
nan -8.757643739823978146e-01
nan -8.755902247988663900e-01
nan -8.754161079489511943e-01
nan -8.752420234236480967e-01
nan -8.750679712139565192e-01
nan -8.748939513108789923e-01
nan -8.747199637054213772e-01
nan -8.745460083885934210e-01
nan -8.743720853514073132e-01
nan -8.741981945848791291e-01
nan -8.740243360800283856e-01
nan -8.738505098278774863e-01
nan -8.736767158194524985e-01
nan -8.735029540457829311e-01
nan -8.733292244979009578e-01
nan -8.731555271668428597e-01
nan -8.729818620436479160e-01
nan -8.728082291193588471e-01
nan -8.726346283850211494e-01
nan -8.724610598316844268e-01
nan -8.722875234504013919e-01
nan -8.721140192322273110e-01
nan -8.719405471682218911e-01
nan -8.717671072494476148e-01
nan -8.715936994669700733e-01
nan -8.714203238118586325e-01
nan -8.712469802751856562e-01
nan -8.710736688480267276e-01
nan -8.709003895214610935e-01
nan -8.707271422865711097e-01
nan -8.705539271344423513e-01
nan -8.703807440561637243e-01
nan -8.702075930428277983e-01
nan -8.700344740855298076e-01
nan -8.698613871753686499e-01
nan -8.696883323034467761e-01
