# Time	a_winner	a_loosers
1.071776000000000018e+01 7.885034968398396238e+00 5.104258318571702091e+00
1.100103999999999971e+01 7.960963469137469772e+00 5.107921932523488806e+00
1.121299999999999919e+01 8.039455616269014726e+00 5.134626463936634799e+00
1.142489999999999917e+01 8.116824106033057262e+00 5.174222506081789241e+00
1.163674999999999926e+01 8.198924439033630662e+00 5.149689720583455532e+00
1.184850999999999921e+01 8.280067106026631762e+00 5.287476450662597749e+00
1.206020000000000003e+01 8.354046342612184262e+00 5.313115508923833552e+00
1.232417000000000051e+01 8.433479814519357021e+00 5.337303663709134227e+00
1.253289999999999971e+01 8.521313469227697723e+00 5.430278133838013055e+00
1.274149000000000065e+01 8.602175220024884439e+00 5.481492391580079726e+00
1.294993000000000016e+01 8.690314923719979490e+00 5.576908905184208010e+00
1.324047000000000018e+01 8.778441961133266247e+00 5.647428500372821958e+00
1.344281999999999933e+01 8.863242153625002118e+00 5.783327391022956121e+00
1.367820000000000036e+01 8.932644781134555956e+00 5.852350487089617026e+00
1.387674999999999947e+01 9.005416835511676155e+00 5.873065401205702862e+00
1.407506000000000057e+01 9.080061264717407710e+00 5.916860046827714825e+00
1.432915000000000028e+01 9.156235651345099313e+00 5.934949581644598737e+00
1.454346999999999923e+01 9.234357066985433349e+00 6.024369926296986755e+00
1.473143999999999920e+01 9.314305576808685316e+00 6.088354314350022278e+00
1.495262999999999920e+01 9.395807486360565619e+00 6.105480105790905831e+00
1.519345000000000034e+01 9.482886615553260512e+00 6.132526426898428085e+00
1.541247000000000078e+01 9.570393663422844810e+00 6.194693090585722040e+00
1.562594999999999956e+01 9.657549088658749170e+00 6.221097316758064544e+00
1.588162999999999947e+01 9.748933446708200279e+00 6.398729620419292274e+00
1.627551000000000059e+01 9.838352048377757342e+00 6.444408554580400406e+00
1.662002999999999986e+01 9.931051669003416293e+00 6.567766815804263913e+00
1.696455999999999875e+01 1.002224658875742946e+01 6.792080195436267509e+00
1.730912000000000006e+01 1.010293866356294501e+01 6.755615304808532784e+00
1.765369000000000099e+01 1.019258282322397413e+01 6.828514703120299956e+00
1.799827000000000155e+01 1.028417016854802135e+01 7.004860256519488182e+00
